Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
6684707,4.72,6.2,267,105.67683,57.439999,1.9553661,4.8428402,0.50840718,0.84889776,2.9614408,4332,2.3271325
6684708,4.72,6.24,265,109.35533,62.212799,1.954266,4.8411307,0.50822771,0.84886461,2.9621334,4332,2.3283412
6684709,4.72,6.28,261,112.79687,67.167999,1.9511229,4.8354406,0.50763035,0.84875429,2.9644425,4332,2.3321004
6684710,4.72,6.32,251,115.44904,72.878403,1.9390424,4.8116875,0.50513673,0.84829265,2.9741399,4332,2.3473914
6684711,4.72,6.36,244,118.9511,78.155197,2.0062804,4.3114576,0.452622,0.83813071,3.2031863,4332,2.4242198
6684712,4.72,6.4,243,126.9421,87.222397,2.0113263,4.2885361,0.4502157,0.83764338,3.214962,4332,2.42624
6684715,4.72,6.52,88,19.925976,5.2783999,1.8769217,4.0971942,0.4301284,0.83349419,3.3184023,4332,2.5838435
6684716,4.72,6.56,91,18.500883,4.4928002,1.8818603,4.1045523,0.43090084,0.83365655,3.3142462,4332,2.5777848
6684717,4.72,6.6,111,23.400408,6.1135998,1.9122596,4.1434112,0.43498027,0.83451009,3.2925422,4332,2.5424929
6684718,4.72,6.64,215,99.329002,70.584,2.0008426,4.413682,0.46335363,0.84027946,3.1521587,4332,2.3984079
6684719,4.72,6.68,462,505.23071,939.67358,1.6941546,6.4848561,0.68078804,0.87720656,2.4647887,4332,2.2386351
6684720,4.72,6.72,257,142.36018,120.2928,1.9430051,5.215508,0.54753029,0.85591125,2.8212883,4332,2.2546139
6684721,4.72,6.76,144,49.295589,26.784,1.9268807,4.5594511,0.47865668,0.84327734,3.0833526,4332,2.4149497
6684722,4.72,6.8,140,57.718628,38.499199,1.9232345,4.5549078,0.47817972,0.84318507,3.0854306,4332,2.418992
6684723,4.72,6.84,144,67.546402,49.398399,1.9235586,4.5518842,0.47786227,0.84312361,3.0868161,4332,2.4195695
6750216,4.76,5.12,241,126.05138,99.3312,2.0444388,4.3724017,0.45901999,0.8394165,3.1724775,4332,2.3743811
6750217,4.76,5.16,260,124.89553,90.249603,2.0217099,4.6428089,0.48740765,0.84495819,3.0459478,4332,2.3226933
6750218,4.76,5.2,301,149.76447,107.1792,2.1139781,4.6131339,0.48429236,0.84436256,3.0591087,4332,2.2582781
6750219,4.76,5.24,310,151.97447,107.1696,2.1173334,4.617794,0.48478159,0.84445632,3.0570307,4332,2.2549803
6750220,4.76,5.28,240,98.890892,60.124802,2.0297749,4.3663688,0.45838666,0.83928984,3.1754792,4332,2.388242
6750221,4.76,5.32,234,91.720634,52.326401,2.0139098,4.2907729,0.45045048,0.83769107,3.2138073,4332,2.4224298
6750222,4.76,5.36,221,80.477577,41.3344,2.0080931,4.2831783,0.44965321,0.83752924,3.2177327,4332,2.4282365
6750223,4.76,5.4,203,66.210129,28.233601,1.998638,4.2716155,0.44843933,0.83728242,3.2237358,4332,2.4378433
6750224,4.76,5.44,177,51.461433,17.900801,1.9723505,4.2407928,0.44520351,0.83662188,3.2398984,4332,2.4666862
6750225,4.76,5.48,153,46.268379,16.571199,2.1428597,3.645864,0.38274717,0.82306927,3.6054029,4332,2.5148616
6750227,4.76,5.56,292,146.60869,98.015999,1.9819276,4.8116875,0.50513673,0.84829265,2.9741399,4332,2.3140364
6750228,4.76,5.6,300,142.25043,90.667198,1.9859544,4.8184505,0.50584668,0.84842426,2.9713693,4332,2.3095896
6750229,4.76,5.64,293,132.57094,81.751999,1.9651473,4.854269,0.50960696,0.84911895,2.9568229,4332,2.3179095
6750230,4.76,5.68,289,124.36207,73.528,1.9680558,4.8628759,0.51051056,0.8492853,2.9533596,4332,2.3131046
6750231,4.76,5.72,286,117.16612,65.848,1.9665897,4.8617263,0.51038986,0.84926307,2.9538212,4332,2.3144109
6750232,4.76,5.76,283,110.3746,58.919998,1.9655864,4.8605776,0.51026928,0.8492409,2.954283,4332,2.3153286
6750233,4.76,5.8,281,105.49039,54.054401,1.9649844,4.8600035,0.51020902,0.84922981,2.954514,4332,2.31584
6750234,4.76,5.84,282,101.87502,49.788799,1.9663084,4.8628759,0.51051056,0.8492853,2.9533596,4332,2.3141069
